date;year;dist
1993/04/02;1993;25
1993/04/03;1993;25
1993/04/05;1993;40
1993/04/07;1993;40
1993/04/13;1993;50
1993/04/14;1993;50
1993/04/16;1993;50
1993/04/16;1993;50
1993/04/22;1993;40
1993/04/23;1993;40
1993/04/24;1993;50
1993/04/25;1993;50
1993/04/26;1993;50
1993/04/29;1993;50
1993/04/30;1993;110
1993/05/01;1993;80
1993/05/06;1993;50
1993/05/07;1993;40
1993/05/08;1993;40
1993/05/10;1993;50
1993/05/12;1993;50
1993/05/13;1993;40
1993/05/15;1993;50
1993/05/16;1993;40
1993/05/19;1993;50
1993/05/20;1993;40
1993/05/22;1993;70
1993/05/23;1993;110
1993/05/26;1993;50
1993/05/27;1993;50
1993/05/28;1993;40
1993/05/30;1993;40
1993/06/02;1993;70
1993/06/04;1993;50
1993/06/04;1993;50
1993/06/08;1993;50
1993/06/09;1993;50
1993/06/10;1993;40
1993/06/12;1993;50
1993/06/18;1993;50
1993/06/19;1993;50
1993/06/23;1993;70
1993/06/24;1993;50
1993/06/25;1993;50
1993/06/27;1993;40
1993/06/29;1993;50
1993/07/01;1993;40
1993/07/02;1993;70
1993/07/04;1993;50
1993/07/06;1993;50
1993/07/08;1993;50
1993/07/09;1993;40
1993/07/12;1993;50
1993/07/14;1993;40
1993/07/15;1993;50
1993/07/17;1993;70
1993/08/03;1993;40
1993/08/05;1993;50
1993/08/06;1993;40
1993/08/07;1993;40
1993/08/08;1993;40
1993/08/10;1993;50
1993/08/12;1993;50
1993/08/13;1993;50
1993/08/15;1993;60
1993/08/16;1993;50
1993/08/17;1993;70
1993/08/18;1993;50
1993/08/20;1993;50
1993/08/22;1993;70
1993/08/23;1993;40
1993/08/26;1993;50
1993/08/28;1993;40
1993/08/29;1993;70
1993/08/31;1993;40
1993/09/01;1993;50
1993/09/05;1993;50
1993/09/06;1993;40
1993/09/07;1993;40
1993/09/08;1993;40
1993/09/09;1993;50
1993/09/10;1993;50
1993/09/13;1993;50
1993/09/15;1993;40
1993/09/16;1993;40
1993/09/17;1993;40
1993/09/19;1993;40
1993/09/23;1993;40
1993/09/24;1993;40
1993/09/25;1993;50
1993/09/28;1993;40
1993/09/29;1993;40
1993/10/01;1993;40
1993/10/02;1993;50
1993/10/03;1993;50
1993/10/04;1993;40
1993/10/06;1993;50
1993/10/07;1993;40
1993/10/08;1993;40
1993/10/09;1993;40
1993/10/10;1993;100
1993/10/12;1993;40
1993/10/14;1993;40
1993/10/16;1993;70
1993/10/19;1993;40
1993/10/26;1993;40
1993/10/27;1993;40
1993/10/29;1993;30
1994/01/16;1994;30
1994/01/22;1994;30
1994/01/23;1994;30
1994/01/28;1994;20
1994/01/29;1994;40
1994/02/05;1994;30
1994/02/06;1994;25
1994/02/12;1994;40
1994/02/13;1994;35
1994/02/19;1994;60
1994/02/20;1994;70
1994/02/27;1994;30
1994/03/01;1994;40
1994/03/02;1994;40
1994/03/10;1994;60
1994/03/12;1994;30
1994/03/31;1994;60
1994/04/01;1994;20
1994/04/05;1994;50
1994/04/06;1994;20
1994/04/08;1994;50
1994/04/09;1994;70
1994/04/10;1994;20
1994/04/11;1994;40
1994/04/12;1994;20
1994/04/13;1994;20
1994/04/14;1994;40
1994/04/15;1994;50
1994/04/16;1994;20
1994/04/17;1994;70
1994/04/18;1994;20
1994/04/19;1994;20
1994/04/20;1994;20
1994/04/21;1994;40
1994/04/22;1994;40
1994/04/23;1994;20
1994/04/24;1994;80
1994/04/25;1994;20
1994/04/27;1994;20
1994/04/28;1994;20
1994/04/29;1994;20
1994/05/04;1994;20
1994/05/05;1994;20
1994/05/06;1994;20
1994/05/07;1994;30
1994/05/09;1994;20
1994/05/10;1994;20
1994/05/11;1994;20
1994/05/12;1994;20
1994/05/13;1994;20
1994/05/14;1994;20
1994/05/15;1994;40
1994/05/16;1994;20
1994/05/17;1994;20
1994/05/18;1994;20
1994/05/19;1994;20
1994/05/21;1994;20
1994/05/23;1994;20
1994/05/24;1994;40
1994/05/25;1994;40
1994/05/26;1994;20
1994/05/27;1994;20
1994/05/28;1994;70
1994/05/30;1994;20
1994/05/31;1994;20
1994/06/01;1994;20
1994/06/03;1994;40
1994/06/04;1994;45
1994/06/05;1994;20
1994/06/06;1994;20
1994/06/07;1994;20
1994/06/08;1994;40
1994/06/09;1994;20
1994/06/10;1994;35
1994/06/11;1994;35
1994/06/12;1994;45
1994/06/13;1994;20
1994/06/14;1994;20
1994/06/15;1994;35
1994/06/17;1994;20
1994/06/18;1994;20
1994/06/19;1994;20
1994/06/24;1994;20
1994/06/25;1994;70
1994/06/25;1994;60
1994/06/27;1994;20
1994/06/28;1994;20
1994/06/29;1994;40
1994/06/30;1994;20
1994/07/01;1994;40
1994/07/02;1994;50
1994/07/03;1994;80
1994/07/04;1994;20
1994/07/05;1994;20
1994/07/06;1994;20
1994/07/07;1994;40
1994/07/09;1994;50
1994/07/11;1994;20
1994/07/12;1994;40
1994/07/13;1994;20
1994/07/14;1994;20
1994/07/15;1994;60
1994/07/16;1994;60
1994/07/17;1994;40
1994/07/18;1994;20
1994/07/19;1994;20
1994/07/20;1994;20
1994/07/21;1994;20
1994/07/22;1994;45
1994/07/23;1994;40
1994/07/25;1994;20
1994/07/26;1994;20
1994/07/27;1994;20
1994/07/28;1994;20
1994/07/29;1994;20
1994/07/30;1994;20
1994/08/01;1994;20
1994/08/02;1994;20
1994/08/03;1994;40
1994/08/04;1994;20
1994/08/05;1994;20
1994/08/06;1994;40
1994/08/07;1994;35
1994/08/08;1994;20
1994/08/09;1994;20
1994/08/10;1994;35
1994/08/11;1994;20
1994/08/12;1994;35
1994/08/13;1994;20
1994/08/14;1994;40
1994/08/15;1994;35
1994/08/16;1994;20
