dd;mm;yyyy;dist
01;01;2018;100
02;01;2018;55
03;01;2018;90
04;01;2018;50
06;01;2018;95
07;01;2018;80
08;01;2018;50
09;01;2018;35
10;01;2018;50
11;01;2018;65
12;01;2018;40
14;01;2018;85
15;01;2018;60
17;01;2018;45
18;01;2018;60
19;01;2018;35
20;01;2018;70
21;01;2018;45
22;01;2018;45
24;01;2018;60
25;01;2018;55
26;01;2018;65
28;01;2018;60
29;01;2018;55
30;01;2018;40
31;01;2018;25
01;02;2018;45
02;02;2018;30
03;02;2018;40
04;02;2018;55
11;02;2018;55
12;02;2018;35
13;02;2018;45
14;02;2018;40
15;02;2018;35
17;02;2018;45
18;02;2018;60
20;02;2018;60
22;02;2018;40
24;02;2018;25
04;03;2018;50
10;03;2018;50
11;03;2018;60
12;03;2018;45
13;03;2018;40
14;03;2018;40
15;03;2018;40
17;03;2018;55
18;03;2018;65
21;03;2018;50
22;03;2018;70
24;03;2018;20
24;03;2018;100
26;03;2018;75
27;03;2018;75
28;03;2018;70
30;03;2018;55
31;03;2018;100
01;04;2018;50
02;04;2018;80
03;04;2018;45
04;04;2018;70
05;04;2018;30
06;04;2018;55
07;04;2018;20
07;04;2018;100
08;04;2018;20
08;04;2018;115
09;04;2018;30
10;04;2018;30
10;04;2018;30
11;04;2018;55
12;04;2018;55
13;04;2018;75
14;04;2018;110
15;04;2018;80
16;04;2018;25
17;04;2018;55
17;04;2018;20
18;04;2018;90
19;04;2018;65
20;04;2018;45
21;04;2018;120
22;04;2018;145
23;04;2018;60
24;04;2018;55
27;04;2018;185
28;04;2018;40
29;04;2018;200
30;04;2018;185
01;05;2018;155
02;05;2018;70
03;05;2018;80
04;05;2018;25
05;05;2018;190
06;05;2018;75
07;05;2018;65
08;05;2018;75
09;05;2018;55
09;05;2018;50
10;05;2018;55
11;05;2018;30
11;05;2018;65
13;05;2018;125
14;05;2018;85
15;05;2018;40
16;05;2018;45
16;05;2018;25
17;05;2018;40
17;05;2018;40
18;05;2018;50
19;05;2018;165
20;05;2018;110
21;05;2018;30
22;05;2018;85
23;05;2018;160
24;05;2018;45
25;05;2018;110
26;05;2018;120
27;05;2018;150
28;05;2018;35
28;05;2018;40
29;05;2018;50
30;05;2018;100
31;05;2018;25
31;05;2018;45
01;06;2018;50
01;06;2018;50
02;06;2018;20
02;06;2018;60
03;06;2018;65
04;06;2018;35
04;06;2018;50
05;06;2018;50
06;06;2018;25
06;06;2018;90
06;06;2018;20
07;06;2018;80
08;06;2018;35
09;06;2018;60
10;06;2018;160
11;06;2018;60
12;06;2018;45
12;06;2018;40
13;06;2018;35
14;06;2018;85
16;06;2018;20
16;06;2018;100
17;06;2018;50
17;06;2018;50
18;06;2018;70
19;06;2018;60
19;06;2018;40
20;06;2018;40
20;06;2018;45
21;06;2018;50
21;06;2018;30
22;06;2018;70
22;06;2018;15
23;06;2018;55
25;06;2018;25
25;06;2018;15
26;06;2018;50
28;06;2018;60
28;06;2018;25
28;06;2018;160
30;06;2018;60
01;07;2018;25
01;07;2018;20
03;07;2018;45
04;07;2018;55
05;07;2018;45
06;07;2018;50
07;07;2018;105
08;07;2018;85
09;07;2018;35
10;07;2018;40
14;07;2018;65
15;07;2018;95
20;07;2018;35
21;07;2018;100
22;07;2018;100
26;07;2018;115
28;07;2018;130
29;07;2018;100
01;08;2018;40
02;08;2018;55
03;08;2018;60
04;08;2018;105
05;08;2018;80
07;08;2018;45
08;08;2018;30
09;08;2018;80
11;08;2018;60
12;08;2018;80
13;08;2018;55
14;08;2018;55
15;08;2018;60
16;08;2018;50
17;08;2018;75
26;08;2018;60
27;08;2018;45
28;08;2018;45
29;08;2018;60
30;08;2018;45
31;08;2018;75
01;09;2018;120
02;09;2018;65
03;09;2018;95
05;09;2018;150
07;09;2018;80
08;09;2018;50
09;09;2018;195
10;09;2018;50
11;09;2018;50
12;09;2018;25
13;09;2018;55
14;09;2018;50
15;09;2018;135
16;09;2018;125
18;09;2018;90
20;09;2018;60
23;09;2018;180
25;09;2018;55
26;09;2018;50
28;09;2018;20
28;09;2018;60
29;09;2018;100
30;09;2018;125
01;10;2018;55
02;10;2018;20
04;10;2018;70
05;10;2018;90
06;10;2018;100
08;10;2018;50
09;10;2018;55
10;10;2018;25
11;10;2018;40
14;10;2018;90
15;10;2018;85
17;10;2018;55
18;10;2018;60
21;10;2018;75
22;10;2018;50
24;10;2018;25
25;10;2018;40
26;10;2018;80
27;10;2018;140
28;10;2018;25
29;10;2018;25
30;10;2018;40
31;10;2018;90
01;11;2018;15
01;11;2018;70
02;11;2018;115
03;11;2018;85
04;11;2018;70
06;11;2018;20
06;11;2018;95
07;11;2018;60
08;11;2018;25
09;11;2018;30
09;11;2018;60
10;11;2018;70
11;11;2018;50
12;11;2018;50
13;11;2018;60
15;11;2018;115
18;11;2018;140
19;11;2018;85
20;11;2018;30
21;11;2018;45
22;11;2018;40
25;11;2018;75
26;11;2018;75
27;11;2018;70
30;11;2018;70
01;12;2018;40
02;12;2018;80
03;12;2018;40
04;12;2018;30
05;12;2018;50
06;12;2018;55
07;12;2018;50
08;12;2018;60
09;12;2018;75
11;12;2018;50
12;12;2018;40
13;12;2018;40
16;12;2018;40
17;12;2018;40
18;12;2018;55
19;12;2018;50
21;12;2018;30
22;12;2018;50
23;12;2018;40
24;12;2018;40
26;12;2018;70
27;12;2018;25
28;12;2018;35
30;12;2018;40
31;12;2018;40
