dd;mm;yyyy;dist
02;04;1993;25
03;04;1993;25
05;04;1993;40
07;04;1993;40
13;04;1993;50
14;04;1993;50
16;04;1993;50
16;04;1993;50
22;04;1993;40
23;04;1993;40
24;04;1993;50
25;04;1993;50
26;04;1993;50
29;04;1993;50
30;04;1993;110
01;05;1993;80
06;05;1993;50
07;05;1993;40
08;05;1993;40
10;05;1993;50
12;05;1993;50
13;05;1993;40
15;05;1993;50
16;05;1993;40
19;05;1993;50
20;05;1993;40
22;05;1993;70
23;05;1993;110
26;05;1993;50
27;05;1993;50
28;05;1993;40
30;05;1993;40
02;06;1993;70
04;06;1993;50
04;06;1993;50
08;06;1993;50
09;06;1993;50
10;06;1993;40
12;06;1993;50
18;06;1993;50
19;06;1993;50
23;06;1993;70
24;06;1993;50
25;06;1993;50
27;06;1993;40
29;06;1993;50
01;07;1993;40
02;07;1993;70
04;07;1993;50
06;07;1993;50
08;07;1993;50
09;07;1993;40
12;07;1993;50
14;07;1993;40
15;07;1993;50
17;07;1993;70
03;08;1993;40
05;08;1993;50
06;08;1993;40
07;08;1993;40
08;08;1993;40
10;08;1993;50
12;08;1993;50
13;08;1993;50
15;08;1993;60
16;08;1993;50
17;08;1993;70
18;08;1993;50
20;08;1993;50
22;08;1993;70
23;08;1993;40
26;08;1993;50
28;08;1993;40
29;08;1993;70
31;08;1993;40
01;09;1993;50
05;09;1993;50
06;09;1993;40
07;09;1993;40
08;09;1993;40
09;09;1993;50
10;09;1993;50
13;09;1993;50
15;09;1993;40
16;09;1993;40
17;09;1993;40
19;09;1993;40
23;09;1993;40
24;09;1993;40
25;09;1993;50
28;09;1993;40
29;09;1993;40
01;10;1993;40
02;10;1993;50
03;10;1993;50
04;10;1993;40
06;10;1993;50
07;10;1993;40
08;10;1993;40
09;10;1993;40
10;10;1993;100
12;10;1993;40
14;10;1993;40
16;10;1993;70
19;10;1993;40
26;10;1993;40
27;10;1993;40
29;10;1993;30
16;01;1994;30
22;01;1994;30
23;01;1994;30
28;01;1994;20
29;01;1994;40
05;02;1994;30
06;02;1994;25
12;02;1994;40
13;02;1994;35
19;02;1994;60
20;02;1994;70
27;02;1994;30
01;03;1994;40
02;03;1994;40
10;03;1994;60
12;03;1994;30
31;03;1994;60
01;04;1994;20
05;04;1994;50
06;04;1994;20
08;04;1994;50
09;04;1994;70
10;04;1994;20
11;04;1994;40
12;04;1994;20
13;04;1994;20
14;04;1994;40
15;04;1994;50
16;04;1994;20
17;04;1994;70
18;04;1994;20
19;04;1994;20
20;04;1994;20
21;04;1994;40
22;04;1994;40
23;04;1994;20
24;04;1994;80
25;04;1994;20
27;04;1994;20
28;04;1994;20
29;04;1994;20
04;05;1994;20
05;05;1994;20
06;05;1994;20
07;05;1994;30
09;05;1994;20
10;05;1994;20
11;05;1994;20
12;05;1994;20
13;05;1994;20
14;05;1994;20
15;05;1994;40
16;05;1994;20
17;05;1994;20
18;05;1994;20
19;05;1994;20
21;05;1994;20
23;05;1994;20
24;05;1994;40
25;05;1994;40
26;05;1994;20
27;05;1994;20
28;05;1994;70
30;05;1994;20
31;05;1994;20
01;06;1994;20
03;06;1994;40
04;06;1994;45
05;06;1994;20
06;06;1994;20
07;06;1994;20
08;06;1994;40
09;06;1994;20
10;06;1994;35
11;06;1994;35
12;06;1994;45
13;06;1994;20
14;06;1994;20
15;06;1994;35
17;06;1994;20
18;06;1994;20
19;06;1994;20
24;06;1994;20
25;06;1994;70
25;06;1994;60
27;06;1994;20
28;06;1994;20
29;06;1994;40
30;06;1994;20
01;07;1994;40
02;07;1994;50
03;07;1994;80
04;07;1994;20
05;07;1994;20
06;07;1994;20
07;07;1994;40
09;07;1994;50
11;07;1994;20
12;07;1994;40
13;07;1994;20
14;07;1994;20
15;07;1994;60
16;07;1994;60
17;07;1994;40
18;07;1994;20
19;07;1994;20
20;07;1994;20
21;07;1994;20
22;07;1994;45
23;07;1994;40
25;07;1994;20
26;07;1994;20
27;07;1994;20
28;07;1994;20
29;07;1994;20
30;07;1994;20
01;08;1994;20
02;08;1994;20
03;08;1994;40
04;08;1994;20
05;08;1994;20
06;08;1994;40
07;08;1994;35
08;08;1994;20
09;08;1994;20
10;08;1994;35
11;08;1994;20
12;08;1994;35
13;08;1994;20
14;08;1994;40
15;08;1994;35
16;08;1994;20
19;08;1994;35
29;08;1994;20
30;08;1994;20
31;08;1994;20
01;09;1994;35
02;09;1994;20
05;09;1994;20
06;09;1994;20
07;09;1994;20
08;09;1994;20
09;09;1994;20
12;09;1994;20
13;09;1994;20
14;09;1994;20
15;09;1994;20
16;09;1994;20
19;09;1994;20
20;09;1994;20
23;09;1994;20
23;04;1995;60
24;04;1995;40
25;04;1995;40
26;04;1995;20
27;04;1995;50
28;04;1995;60
29;04;1995;45
03;05;1995;40
04;05;1995;20
05;05;1995;20
06;05;1995;50
08;05;1995;50
09;05;1995;20
11;05;1995;20
12;05;1995;40
15;05;1995;20
16;05;1995;20
18;05;1995;20
19;05;1995;20
20;05;1995;50
22;05;1995;20
23;05;1995;40
24;05;1995;40
25;05;1995;40
26;05;1995;50
27;05;1995;20
28;05;1995;20
29;05;1995;50
30;05;1995;60
31;05;1995;50
01;06;1995;20
02;06;1995;20
03;06;1995;20
04;06;1995;40
05;06;1995;20
06;06;1995;50
07;06;1995;20
09;06;1995;50
10;06;1995;60
12;06;1995;20
13;06;1995;40
14;06;1995;35
20;06;1995;55
21;06;1995;45
22;06;1995;40
24;06;1995;20
25;06;1995;20
29;06;1995;20
30;06;1995;20
02;07;1995;60
08;07;1995;20
09;07;1995;60
14;07;1995;20
15;07;1995;45
18;07;1995;30
19;07;1995;20
20;07;1995;20
21;07;1995;20
22;07;1995;30
23;07;1995;20
24;07;1995;20
25;07;1995;20
26;07;1995;20
01;08;1995;35
02;08;1995;30
03;08;1995;20
05;08;1995;20
07;08;1995;20
08;08;1995;35
09;08;1995;20
10;08;1995;30
11;08;1995;25
12;08;1995;30
13;08;1995;35
14;08;1995;30
16;08;1995;20
17;08;1995;20
18;08;1995;40
19;08;1995;40
20;08;1995;40
21;08;1995;20
22;08;1995;20
23;08;1995;10
24;08;1995;20
25;08;1995;20
26;08;1995;20
27;08;1995;20
11;09;1995;20
12;09;1995;20
13;09;1995;20
14;09;1995;20
18;09;1995;20
19;09;1995;20
20;09;1995;20
21;09;1995;20
22;09;1995;20
24;09;1995;20
25;09;1995;20
26;09;1995;20
27;09;1995;20
29;09;1995;20
03;10;1995;20
05;10;1995;20
06;10;1995;20
07;10;1995;20
08;10;1995;30
09;10;1995;20
10;10;1995;20
11;10;1995;20
13;10;1995;20
14;10;1995;20
15;10;1995;30
16;10;1995;20
17;10;1995;20
18;10;1995;20
19;10;1995;20
20;10;1995;20
21;10;1995;25
23;10;1995;20
24;10;1995;20
26;10;1995;20
27;10;1995;20
28;10;1995;30
29;10;1995;20
30;10;1995;20
31;10;1995;20
11;11;1995;20
06;04;1996;35
09;04;1996;35
10;04;1996;20
12;04;1996;20
15;04;1996;20
16;04;1996;25
17;04;1996;35
18;04;1996;35
19;04;1996;20
20;04;1996;40
21;04;1996;35
22;04;1996;20
23;04;1996;20
24;04;1996;20
25;04;1996;20
26;04;1996;35
27;04;1996;35
28;04;1996;20
