place;country;date
Osowa;pl;20120104
Matarnia;pl;20120104
Osowa;pl;20120106
Matarnia;pl;20120106
Osowa;pl;20120107
Matarnia;pl;20120107
Osowa;pl;20120108
Matarnia;pl;20120108
Gdañsk;pl;20120111
Matarnia;pl;20120113
Osowa;pl;20120113
Osowa;pl;20120222
Matarnia;pl;20120222
Osowa;pl;20120223
Matarnia;pl;20120223
Gdañsk;pl;20120224
Gdañsk;pl;20120227
Matarnia;pl;20120229
Osowa;pl;20120229
Matarnia;pl;20120301
Osowa;pl;20120301
Matarnia;pl;20120302
Osowa;pl;20120302
Gdañsk;pl;20120304
Matarnia;pl;20120305
Osowa;pl;20120307
Matarnia;pl;20120307
Osowa;pl;20120309
Matarnia;pl;20120309
Osowa;pl;20120310
Matarnia;pl;20120310
Osowa;pl;20120311
Matarnia;pl;20120311
Matarnia;pl;20120312
Osowa;pl;20120312
Osowa;pl;20120313
Gdynia;pl;20120313
Osowa;pl;20120315
Barniewice;pl;20120315
Rêbiechowo;pl;20120315
Matarnia;pl;20120315
Tczew;pl;20120317
KrzyweKo³o;pl;20120317
SuchyD±b;pl;20120317
Krêpiec;pl;20120317
Gdañsk;pl;20120317
Osowa;pl;20120318
Matarnia;pl;20120318
Banino;pl;20120318
Miszewo;pl;20120318
Chwaszczyno;pl;20120318
Gdañsk;pl;20120319
Matarnia;pl;20120321
Sulmin;pl;20120321
Matarnia;pl;20120322
Rêbiechowo;pl;20120322
Barniewice;pl;20120322
Osowa;pl;20120322
Gdañsk;pl;20120324
Gdañsk;pl;20120325
Gdañsk;pl;20120327
Matarnia;pl;20120327
Osowa;pl;20120327
Gdynia;pl;20120328
Osowa;pl;20120328
Matarnia;pl;20120328
Gdañsk;pl;20120330
Gdañsk;pl;20120402
Gdynia;pl;20120403
Matarnia;pl;20120403
Osowa;pl;20120403
Osowa;pl;20120405
Matarnia;pl;20120405
Gdañsk;pl;20120406
Matarnia;pl;20120406
Osowa;pl;20120406
Matarnia;pl;20120409
Osowa;pl;20120409
Banino;pl;20120409
Barniewice;pl;20120409
Gdañsk;pl;20120410
Osowa;pl;20120412
Matarnia;pl;20120412
Matarnia;pl;20120414
Osowa;pl;20120414
Banino;pl;20120414
Barniewice;pl;20120414
Matarnia;pl;20120415
Osowa;pl;20120415
Matarnia;pl;20120417
Osowa;pl;20120417
Matarnia;pl;20120418
Osowa;pl;20120418
Matarnia;pl;20120422
Osowa;pl;20120422
Sopot;pl;20120423
Matarnia;pl;20120424
Osowa;pl;20120424
Matarnia;pl;20120426
Rêbiechowo;pl;20120426
Barniewice;pl;20120426
Osowa;pl;20120426
Kwidzyn;pl;20120428
Gardeja;pl;20120428
Szembruk;pl;20120428
Nogat;pl;20120428
£asin;pl;20120428
Gocza³ki;pl;20120428
£±korz;pl;20120428
Zbiczno;pl;20120428
Grzmiêca;pl;20120428
Jajkowo;pl;20120428
Jajkowo;pl;20120430
Samp³awa;pl;20120430
I³awa;pl;20120430
Matarnia;pl;20120506
Osowa;pl;20120506
Matarnia;pl;20120507
Rêbiechowo;pl;20120507
Barniewice;pl;20120507
Osowa;pl;20120507
Matarnia;pl;20120508
Osowa;pl;20120508
Osowa;pl;20120509
Barniewice;pl;20120509
Banino;pl;20120509
Pêpowo;pl;20120509
Gdynia;pl;20120510
Osowa;pl;20120510
Matarnia;pl;20120513
Osowa;pl;20120513
Osowa;pl;20120514
Barniewice;pl;20120514
Banino;pl;20120514
Matarnia;pl;20120515
Osowa;pl;20120515
Gdynia;pl;20120516
Koleczkowo;pl;20120516
Kielno;pl;20120516
Chwaszczyno;pl;20120516
Osowa;pl;20120516
Damnica;pl;20120519
Krzywañ;pl;20120519
SkarszówDolny;pl;20120519
Lubuñ;pl;20120519
¯elkówko;pl;20120519
DêbnicaKaszubska;pl;20120519
Dobieszewo;pl;20120519
Dobra;pl;20120519
Gogolewo;pl;20120519
CzarnaD±brówka;pl;20120519
Cewice;pl;20120519
Lêbork;pl;20120519
Matarnia;pl;20120520
Osowa;pl;20120520
Gdynia;pl;20120522
Osowa;pl;20120522
Matarnia;pl;20120522
Osowa;pl;20120523
Matarnia;pl;20120523
Osowa;pl;20120525
Chwaszczyno;pl;20120525
Kielno;pl;20120525
Koleczkowo;pl;20120525
Wiczlino;pl;20120525
Osowa;pl;20120526
Matarnia;pl;20120526
Le¼no;pl;20120526
Pêpowo;pl;20120526
Banino;pl;20120526
Barniewice;pl;20120526
Osowa;pl;20120527
Chwaszczyno;pl;20120527
Kielno;pl;20120527
Koleczkowo;pl;20120527
Wiczlino;pl;20120527
Osowa;pl;20120528
Matarnia;pl;20120528
Matarnia;pl;20120530
Osowa;pl;20120530
Osowa;pl;20120531
Matarnia;pl;20120531
Sopot;pl;20120603
Gdañsk;pl;20120603
Osowa;pl;20120604
Banino;pl;20120604
Pêpowo;pl;20120604
Osowa;pl;20120606
Banino;pl;20120606
Osowa;pl;20120607
Chwaszczyno;pl;20120607
Kielno;pl;20120607
Koleczkowo;pl;20120607
Wiczlino;pl;20120607
Osowa;pl;20120610
Chwaszczyno;pl;20120610
Kielno;pl;20120610
Kamieñ;pl;20120610
Osowa;pl;20120611
Matarnia;pl;20120611
Le¼no;pl;20120611
Pêpowo;pl;20120611
Banino;pl;20120611
Barniewice;pl;20120611
Osowa;pl;20120613
Chwaszczyno;pl;20120613
Kielno;pl;20120613
Koleczkowo;pl;20120613
Wiczlino;pl;20120613
Osowa;pl;20120614
Matarnia;pl;20120614
Wiczlino;pl;20120616
Koleczkowo;pl;20120616
Kielno;pl;20120616
Chwaszczyno;pl;20120616
Osowa;pl;20120616
Wiczlino;pl;20120617
Koleczkowo;pl;20120617
Bieszkowice;pl;20120617
Gdañsk;pl;20120618
Osowa;pl;20120619
Matarnia;pl;20120619
Gdañsk;pl;20120619
Sopot;pl;20120620
Osowa;pl;20120623
Barniewice;pl;20120623
Banino;pl;20120623
Pêpowo;pl;20120623
Le¼no;pl;20120623
Matarnia;pl;20120623
Wiczlino;pl;20120624
